Data Source,World Development Indicators,,,,,,,,
,,,,,,,,,
Last Updated Date,7/1/20,,,,,,,,
,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2015-2018 avg
Sub-Saharan Africa,SSF,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.74592323,19.34122243,25.4153315,,,21.83415905
Small states,SST,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.92834012,46.56373052,52.7965439,,,47.76287152
Sao Tome and Principe,STP,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.82,28,29.9312292,,,27.9170764
Suriname,SUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.76382778,45.4,48.94517397,,,45.70300059
Slovak Republic,SVK,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.6347,80.47585728,81.62566752,80.66033556,,80.09914009
Slovenia,SVN,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.0987,75.49850426,78.88542636,79.7499766,,76.8081518
Sweden,SWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.6102,89.65094761,95.51006745,92.14167705,,91.97822303
Eswatini,SWZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.64304231,28.57352278,47,,,33.73885503
Sint Maarten (Dutch part),SXM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Seychelles,SYC,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.25961786,56.51470815,58.76981124,,,56.51471242
Syrian Arab Republic,SYR,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.97979724,31.86962727,34.25340193,,,32.03427548
Turks and Caicos Islands,TCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.5,5,6.49999812,,,4.999999373
East Asia & Pacific (IDA & IBRD countries),TEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,44.2904169,48.72880783,51.16874466,,,48.06265647
Europe & Central Asia (IDA & IBRD countries),TEC,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.67191666,63.51476431,67.37072259,73.52092153,,66.01958127
Togo,TGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.12,11.31,12.36022497,,,10.26340832
Thailand,THA,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.31612674,47.50496562,52.89192934,56.81748093,,49.13262566
Tajikistan,TJK,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.98,20.47,21.96,,,20.47
Turkmenistan,TKM,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.99677482,17.99032446,21.25099741,,,18.07936556
Latin America & the Caribbean (IDA & IBRD countries),TLA,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.8571419,57.52467638,63.25988639,65.80628544,,60.36199753
Timor-Leste,TLS,Individuals using the Internet (% of population),IT.NET.USER.ZS,23,25.24624959,27.49273173,,,25.24632711
Middle East & North Africa (IDA & IBRD countries),TMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.04917317,42.99068822,50.9832271,59.56750219,,49.14764767
Tonga,TON,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.65127243,39.95,41.24872764,,,39.95000002
South Asia (IDA & IBRD),TSA,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.22347302,20.23984948,30.09918405,,,22.18750218
Sub-Saharan Africa (IDA & IBRD countries),TSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.74592323,19.34122243,25.4153315,,,21.83415905
Trinidad and Tobago,TTO,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.19847061,73.29694122,77.32605293,,,73.27382158
Tunisia,TUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,46.5,49.59999484,64.19081023,64.19081023,,56.12040383
Turkey,TUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.74497914,58.34773401,64.68461768,71.04276107,,61.95502298
Tuvalu,TUV,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.7,46.00915151,49.31833862,,,46.00916338
Tanzania,TZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,20,13,25,,,19.33333333
Uganda,UGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.83485947,21.87617046,23.70653091,,,21.13918695
Ukraine,UKR,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.88464368,53,58.88947945,62.55315539,,55.83181963
Upper middle income,UMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,50.15191053,52.9107379,56.66820548,,,53.24361797
Uruguay,URY,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.5707871,66.4,68.27966256,74.76713473,,68.5043961
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.55420245,85.54442129,87.26611282,,,82.45491219
Uzbekistan,UZB,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.8,46.79128694,52.30510079,55.2,,49.27409693
St. Vincent and the Grenadines,VCT,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.13206652,20.68943522,22.00427798,22.39426119,,20.55501023
"Venezuela, RB",VEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,64,60,72,,,65.33333333
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,77.70142968,77.70426829,,,77.70284899
Virgin Islands (U.S.),VIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.8391373,59.6083158,64.3774943,,,59.6083158
Vietnam,VNM,Individuals using the Internet (% of population),IT.NET.USER.ZS,45,53,58.14,70.34963558,,56.62240889
Vanuatu,VUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.35140458,24,25.71978784,,,24.02373081
World,WLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.68848485,44.70369974,49.72307908,,,45.37175456
Samoa,WSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.40700977,29.41173011,33.61093932,,,29.47655973
Kosovo,XKX,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,83.89359681,89.44303197,,86.66831439
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.08540947,24.57920836,26.71835477,,,25.12765753
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.91911572,54,56.16739447,,,54.02883673
Zambia,ZMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,21,25.50657885,27.8525791,14.2999971,,22.16478876
Zimbabwe,ZWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.7428181,23.11998904,27.05548769,,,24.30609828
