Data Source,World Development Indicators,,,,,,,,
,,,,,,,,,
Last Updated Date,7/1/20,,,,,,,,
,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2015-2018 avg
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,77,79,81.06769325,,,79.02256442
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.7159,75.9002054,80.74318897,84.43358252,,78.19821922
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.6688387,76.4811987,78.71916143,80.68816754,,77.88934159
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.58979935,84.16520664,84.39550077,89.73912104,,86.47240695
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.92243143,13.13491511,55.68140925,,,26.9129186
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,65,67.03,69.61966879,,,67.21655626
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3305,96.96778525,97.09936216,97.31920437,,96.92921294
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.21576634,63.87086474,67.57123468,74.82428986,,65.1205389
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.2,42.94552688,47.69105515,49.03846808,,44.46876253
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,44.2904169,48.72880783,51.16871498,,,48.06264657
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.77265393,30.16674985,38.02906156,,,31.32282178
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.99874748,53.18742089,55.07326568,,,52.41981135
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.94856203,62.67017573,66.72826325,73.23720341,,65.3960511
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.04399701,72.44627768,75.02782068,79.75323657,,74.31783299
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.94043379,54.06292473,57.27224368,,,53.42520073
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.81938343,41.24806709,44.95020425,46.92433809,,42.73549821
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.47253588,77.98945493,79.66087356,83.77847588,,79.72533506
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.083733116,1.17711872,1.30890698,,,1.189919605
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.6896,80.56133294,84.6022428,86.10723553,,82.49010282
Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.4097035,87.24023275,88.10245687,89.35700777,,88.27735022
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.85517556,15.36692386,18.61805145,,,15.94671696
European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.65464332,76.91320404,78.75553922,82.41151224,,78.43372471
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.82163933,20.16128546,28.77219724,,,24.58504068
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.42213333,87.70364996,87.46892907,88.88996,,87.62116809
Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.5,46.50697831,49.96637301,,,46.32445044
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.01,79.26981132,80.50245972,82.04318678,,79.95636445
Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.2,95.10868167,97.58195894,,,95.63021354
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.50108128,33.35216255,35.30405287,,,33.38576556
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.78453653,48.05227375,62,,,51.94560343
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.0003,94.77580063,94.62,94.89674176,,94.0732106
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.56975964,58.45928961,59.7055046,62.71790817,,57.11311551
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,25,34.66600065,39,,,32.88866688
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,94.44447158,,,,94.44447158
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.2,9.8,18,,,12
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.5,18.5,19.83645444,,,18.27881815
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.540706917,3.761413832,3.930509152,,,3.744209967
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.31999999,23.77999997,26.23999996,,,23.77999997
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.835,69.08791547,70.54943345,72.9520942,,69.85611078
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.81,55.85640782,59.07173536,,,56.24604773
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.60044348,68.50087368,69.48246178,,,68.52792631
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,28.80594156,34.50932609,65,,,42.77175588
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.13999995,77.00999989,80.50546556,,,76.88515513
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,34,35.66,37.32583679,,,35.6619456
High income,HIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.37420933,83.733593,84.64307221,,,82.58362485
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.94835296,87.47941467,89.41594465,90.50739533,,88.0877769
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.1,29.5,31.7,,,29.43333333
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.64335529,15.3506985,19.35283859,,,16.44896412
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.8031,72.69726967,67.09619204,75.29462599,,71.22279692
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.1977,12.23260161,12.32610358,32.47362713,,17.30750808
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.8347,79.25941213,76.75054712,76.07436064,,76.22975497
IBRD only,IBD,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.03620624,43.92291541,50.17001365,,,44.70971177
IDA & IBRD total,IBT,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.69139606,37.5202087,43.32328727,,,38.51163068
IDA total,IDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.26694999,18.10220758,22.85996539,,,19.74304099
IDA blend,IDB,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.26261629,20.40518943,28.02556008,,,24.23112194
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.97606771,25.4473537,32.2924419,39.90463865,,29.90512549
IDA only,IDX,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.23222663,16.93567254,20.24685254,,,17.47158391
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,17,22,34.45,,,24.48333333
Not classified,INX,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.49479167,85.01113212,84.11400706,84.52230206,,84.28555823
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.33497588,53.22677167,64.04397362,70.00455222,,58.15256835
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,58,21.23,49.35999889,75.00000131,,50.89750005
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.2,98.2400163,98.26,99.01095399,,98.42774257
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.35208966,79.65312418,81.58118359,83.73313906,,80.57988412
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.14173496,61.32425277,63.077347,74.38718292,,64.23262941
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.22122119,44.36685637,55.07206705,,,47.2200482
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,60.11438269,62.30219257,66.79031443,,,63.06896323
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.05802839,93.18272128,84.58806583,91.28160849,,90.027606
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.8299336,74.58772647,76.42674823,78.90391906,,75.18708184
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.58785485,16.6,17.82710021,,,17.00498502
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.24704278,37,38,,,35.08234759
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.43319107,32.39845171,32.44694856,40,,27.81964784
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.99748389,13.7,14.58181818,,,13.75976736
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.7,76.81767491,80.71019081,,,77.74262191
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.9,92.84302568,95.06942188,96.02285958,,93.45882678
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,72,78.36738376,100,99.59884959,,87.49155834
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.79044041,56.38747414,62.53342964,65.73945325,,59.61269936
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.2,21.87,25.51043508,,,21.86014503
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,74,76.11,78.18077489,,,76.09692496
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,33,7.319106411,7.984479722,,,16.10119538
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.01607978,20.27215956,21.75892062,,,20.34905332
St. Lucia,LCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.53093047,46.72907806,50.81524478,,,46.6917511
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.61614048,57.35461427,63.21822511,65.80628544,,60.24881633
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.70016166,15.06093524,18.24969882,,,15.67026524
Low income,LIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.23886699,12.87509687,15.7756725,,,13.62987879
Liechtenstein,LIE,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.6411951,98.09390389,98.1,,,97.61169966
Sri Lanka,LKA,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.1,16.4,34.1133479,,,20.87111597
Lower middle income,LMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.61714325,26.10698765,34.93073723,,,27.88495605
Low & middle income,LMY,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.25180399,37.06169628,42.93967926,,,38.08439318
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,25,27.36,29,,,27.12
Late-demographic dividend,LTE,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.37642992,56.75187195,59.24282466,,,56.45704218
Lithuania,LTU,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.378,74.37664556,77.61525651,79.72258277,,75.77312121
Luxembourg,LUX,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.38,98.13669867,97.36296032,97.06129871,,97.23523942
Latvia,LVA,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.2006,79.84209778,80.114077,83.57717486,,80.68348741
"Macao SAR, China",MAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.60013186,81.64298546,83.17408907,83.79408961,,81.552824
St. Martin (French part),MAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Morocco,MAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.08,58.27123642,61.76221201,64.80386519,,60.47932841
Monaco,MCO,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.36330202,95.20817797,97.05297684,,,95.20815228
Moldova,MDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,69,70.99999911,76.12451989,,,72.04150633
Madagascar,MDG,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.17397219,4.713662899,9.8,,,6.229211697
Maldives,MDV,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.46195515,59.09258997,63.18566588,,,58.91340367
Middle East & North Africa,MEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.92010731,48.49469226,56.21576388,65.14497205,,54.44388388
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.43104299,59.540446,63.85224909,65.77263448,,61.64909314
Marshall Islands,MHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.2824418,29.78777936,38.70116262,,,29.25712793
Middle income,MIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,36.54084,39.61512481,45.85119811,,,40.66905431
North Macedonia,MKD,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.3802,72.15681447,74.51682418,79.16775519,,74.05539846
Mali,MLI,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.33,11.11218649,13,,,11.48072883
Malta,MLT,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.96,78.0751488,81.01191108,81.65804549,,79.17627634
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.72583401,25.07330424,30.67818311,,,25.82577379
Middle East & North Africa (excluding high income),MNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.22792292,43.21821218,51.16230289,59.64250083,,49.31273471
Montenegro,MNE,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.11958104,69.88164684,71.27233254,71.51712879,,70.1976723
Mongolia,MNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.50000413,22.2657705,23.71426517,47.1609402,,28.910245
Northern Mariana Islands,MNP,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Mozambique,MOZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.93353299,17.52123909,10,,,14.81825736
Mauritania,MRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.19912669,18,20.80096366,,,18.00003012
